LABEL-1,LABEL-2,HREF-1,HREF-2
전문건설업 등록 공고 [(주)비엘디에스],2024-07-22,,
강남구 중소기업 인턴십 인턴채용(6기) 승인 공고,2024-07-22,,
강남어린이회관 관리 운영 수탁기관 선정 결과 공고,2024-07-22,,
전문건설업 행정처분(과태료) 공고,2024-07-22,,
(거주불명등록)주민등록 직권조치 결과 공고,2024-07-22,,
역삼1동 주민자치위원 모집 공고,2024-07-22,,
환경전문공사업 변경등록 공고(세아STX엔테크 주식회사),2024-07-22,,
주민등록 거주불명등록자에 대한 행정상 관리주소 이전 2차 공고,2024-07-22,,
주민등록 무단전출자 직권조치 결과 공고,2024-07-22,,
2024 강남구 동유럽 통상촉진단(2024 Korea Business Expo Vienna 연계) 참가기업 모집공고,2024-07-22,,
「강남구 청년일자리 프로모터」채용 서류심사 합격자 및 면접심사 일정 공고,2024-07-22,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54858&mid=ID05_040202&gubunfield=05,
강남구「2024년 하반기 동행일자리사업」참여자 2차 추가 모집 공고,2024-07-22,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54851&mid=ID05_040202&gubunfield=05,
2024년 3차 강남구청 직장어린이집 보육교직원 채용 공고,2024-07-22,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54842&mid=ID05_040202&gubunfield=05,
여권업무 시간선택제임기제(마급) 공무원 채용  면접시험 합격자 공고,2024-07-19,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54840&mid=ID05_040202&gubunfield=05,
2024년 체험형 청년인턴 서류전형 결과 및 면접전형 일정 공고,2024-07-18,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54841&mid=ID05_040202&gubunfield=05,
2024년 하반기 동행일자리사업 추가 선발자 공고,2024-07-17,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54819&mid=ID05_040202&gubunfield=05,
2024년 기간제근로자(임상병리사) 채용 서류전형 결과 및 면접심사 계획,2024-07-17,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54813&mid=ID05_040202&gubunfield=05,
방역소독 업무 기간제 근로자 채용 재공고,2024-07-12,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54773&mid=ID05_040202&gubunfield=05,
감염병 예방관리분야 기간제 근로자 채용 최종 합격자 공고,2024-07-12,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54766&mid=ID05_040202&gubunfield=05,
서울특별시 강남구 시간선택제임기제 공무원 채용시험 계획 공고(개인형 이동장치 단속 분야),2024-07-12,https://www.gangnam.go.kr/notice/view.do?not_ancmt_mgt_no=54752&mid=ID05_040202&gubunfield=05,
